,text
Recon_117.txt.content,“The only answer to the problem of bureaucracy is more and more decentralization so that the people directly participate in the administration of their affairs and control the civil servants who owe their jobs and are directly responsible to them. This is exactly what will happen in the communitarian democracy outlined here. The communal administrations might make mistakes and there might be inefficiency. But as they themselves will be the sufferers they will learn and improve things. Moreover during the British rule did we not say to ourselves repeatedly that good government was no substitute for self-government? Is that less true now?”
Recon_118.txt.content,“An inevitable concomitant of parliamentary democracy is the party system. So much has been written in criticism of this system that it seems unnecessary to dwell upon it here at any length. Some criticism of it has been implicit in what has been said above. It is clear that parliamentary democracy cannot work without parties. Parties of a sort will perhaps exist everywhere and at all times. Even in the family there may be parties. In the ancient Indian republics which were aristocratic democracies parties and factions were a common feature. But the highly organized centralized mass parties of modern times are a far cry from the factions of old whether of the ancient Indian republics or the Greek city states.”
Recon_119.txt.content,“The old democracies were small and the factions and the people were not so far removed from one another. The people therefore could judge them and the issues that were raised with intimate understanding. The issues in those days were also simple enough. All this has changed now and parties have become a sort of state within the state. They are now the real arbiters of the people’s fate whose control over them is fictional. The citizens who cast their votes for the parties have nothing to do with the running of the parties they are complete outsiders. Even the enrolled members of the parties have no say either in the policy-making or the inner administration of the parties. The parties are run by caucuses that are beyond democratic control.”
Recon_12.txt.content,“Party rivalries we have seen above give birth to demagoguery depress political ethics put a premium on unscrupulousness and aptitude for manipulation and intrigue. Parties create dissensions where unity is called for exaggerate differences where they should be minimized. Parties often put party interests over the national interests because centralization of power prevents the citizen from participating in government the parties that is to say small caucuses of politicians rule in the name of the people and create the illusion of democracy and self-government.”
Recon_120.txt.content,“No doubt the party system has its good points and because parliamentary democracy cannot work without it those who swear by that type of democracy and see no alternative to it are prepared to accept the evils of the party system as inevitable and satisfy themselves by pointing out their virtues. For my part it is not the party system that is the main culprit but parliamentary democracy itself which gives rise to it. In the communitarian democracy that I have proposed here there may conceivably be parties but they are likely to be local factions and in any case their role in the state will not be as commanding as that of the parties in the parliamentary system.”
Recon_121.txt.content,“Another serious fault of parliamentary democracy is the system of elections that it fosters and requires for its proper functioning. First of all the system is very expensive and appallingly wasteful. The fabulous expenses involved have the effect of mortgaging democracy to moneyed interests or large sectional organizations like trade unions. As compared with this elections in the communitarian system would cost practically nothing.”
Recon_122.txt.content,“It would have been a matter of some consolation if the huge expenditure had resulted in any public good. In fact the result is just the contrary. A general election as noted above creates unnecessary passion and excitement instead of educating and enlightening the people it befogs their mind instead of resulting in the election of able and good men it tends to favour demagoguery. Serious political and economic issues and other questions of policy it is obvious should be considered calmly and dispassionately and not in the heat of partisan warfare. That is why I hold that the practice of general elections should be abolished. The elected houses should be continuous in nature with a part of them being renewed periodically.”
Recon_123.txt.content,“It is time now to gather all the threads of the argument and tie them together. Ancient Indian thought and tradition social nature of man social science ethical and spiritual goals of civilization the demand of democracy that the citizen should participate in the ordering and running of his life the need of saving man from himself and from the fate of robotism the requirement that the state and other institutions of society be reduced to a human scale the ideal above all that man should become the centre of civilization all these point in the same direction to a communal or communitarian way of life communitarian ethics and education communitarian social economic and political organization. In this paper I have been mainly interested in the political aspect of the matter the shape of the political organization or polity most desirable for our country.”
Recon_124.txt.content,“The foundation of this polity as I have pointed out must necessarily be self-governing self-sufficient agro-industrial urbo-rural local communities. The existing villages and townships provide the physical base for such reconstruction. A laudable beginning has been made in this connection by establishing gram panchayats and instituting such programmes as community development intensive area development (of the Khadi and Village Industries Commission) and cooperativization of the rural economy.”
Recon_125.txt.content,“But from the point of view propounded in this paper these programmes suffer from several serious defects they lack an integrated social philosophy they have no clear concept of community they do not aim to create a balance within the community between agriculture and industry (d) even though the aim is to create communities (no matter how vaguely understood) at the bottom level the concept of social organization at the higher levels remains the same as that of the atomized industrial society of the West (which for our purpose here includes Russia).”
Recon_126.txt.content,“Let me return now to the foundation of our polity. The foundation as stated already must be self-governing self-sufficient agro-industrial urbo-rural local communities. The highest political institution of the local community should be the General Assembly the gram sabha of which all the adults should be considered members. The selection of the Executive the panchayat should be by general consensus of opinion in the sabha. There should be no candidates that is no one should stand for any post. There should be clear-cut qualifications as in ancient times laid down for all selective posts. No individual should hold the same post for more than a defined period of time. The panchayat should function through subcommittees charged with different responsibilities. There should be no official or member appointed or nominated by the state government in the panchayat or its sub-committees.”
Recon_127.txt.content,“It may be questioned if there can ever be a general consensus of opinion amongst villagers who are divided into castes and factions and have conflicting interests. We have seen already how for thousands of years the villages of India elected their executive councils by general agreement. Those villages were by no means homogeneous and ideal communities. Therefore there is no reason to believe that the experience of centuries cannot be repeated again.”
Recon_128.txt.content,“We may also recall that the only alternative method of election of village councils or panchayats was that of drawing lots. There is nothing undemocratic in selection by general agreement or by drawing lots alternatively it might be provided that the villages first try the former method and failing therein take recourse to the latter. Something similar happens in the Bhoodan movement. When the landless families are unable to agree about the distribution of bhoodan lands between themselves the issue is decided by drawing lots. It is not our experience that there has been in any case dissatisfaction with decisions reached in this manner.”
Recon_129.txt.content,“The question may also be asked if the village panchayats as they are today would be able to function in the manner visualized above. There is no better way to teach the young except by giving them responsibility. In the same manner the only way to make the villages self-governing self-reliant and self-sufficient is to throw upon them real responsibilities. There was a time when the Indian village republics were self-created like the Swiss communes and their powers and functions were not given to them from above. But in the present conditions they have to be recreated by a deliberate and bold process of devolution and decentralization if Indian democracy is to have a firm base and living reality.”
Recon_13.txt.content,“I believe that the responsibility given to the gram sabha and the panchayat should be in things that really do matter. For instance it should be the responsibility of the gram sabha and its panchayat to ensure that no one in the village goes without food clothing and shelter no child without primary education every one receives primary medical care. The sabha and panchayat should see that the village becomes self-sufficient in the matter of food and clothing as soon as possible. Further they should so plan that within five years let us say there is no unemployment in the village and every family reaches a minimum standard of living. Self-government to be real should be about essential problems of life.”
Recon_130.txt.content,“It would be necessary for some time to help the village from above but the responsibility must be clearly defined and the demand for help must come from the village in specific terms meant to supplement what has been or is proposed to be done by the collective effort of the village. No help should be given until the village has proved that it has done that and is prepared to do its best to help itself. Eventually such help will have to come from the next larger communal organization the regional community but at the beginning it will have to come from the state government. Social and political workers must go in large numbers to the villages not to make promises but to preach self-reliance and to help them to practice it. The development of the rest of the polity need not wait till the villages and townships become real communities as visualized here. Our work must begin at all levels simultaneously otherwise it will not succeed at any level.”
Recon_131.txt.content,“The next level of the political structure would obviously be that of the regional community. Here as already indicated the gram panchayats will have to be integrated into the panchayat samiti as recommended by the Balvantrai Mehta team with this difference that the nature and functions of the samiti should be those of an autonomous self-governing community as discussed in the previous section the samiti should have powers and obligations to do all that may be within its competence. As suggested already the panchayat samiti comprising the optimum community as defined above would play a key role in the political and economic life of the country particularly in the processes of planning and development.”
Recon_132.txt.content,“There is one important point which I wish to emphasize in connection with the formation of the panchayat samiti. The samiti should be elected by the gram panchayats and not by their members. This at first might appear to be a distinction between six and half-a-dozen. But that is not so. We have here a major principle of communal life involved. It is the gram panchayat as a body that represents the village community and not its members. The panchayat samiti in its turn is a representative of the gram panchayats and it is the latter that should be represented as such and not their members.”
Recon_133.txt.content,“Following the pattern of social organization described in the previous section the political structure would rise storey by storey from the foundation. The next storey above the panchayat samiti would be that of the district council (or whatever name given to it) which will be formed by the integration of the panchayat samitis of the district again the samitis as such electing their representatives and not their members. The district councils in their turn should have all the powers and obligations necessary to do everything that may be within their competence.”
Recon_134.txt.content,“In a similar manner all the district councils of a state would come together to create the state assembly. The state assemblies in like manner would bring into being the Lok Sabha. Thus the political institution at each level is an integration of all the institutions at the lower level.”
Recon_135.txt.content,“The picture drawn here of the polity of India and of social organization in general might perhaps appear to be idealistic. If so I would not consider that to be a disqualification. An ideal cannot but be idealistic. The question is if the ideal is impractical unscientific or otherwise ill-conceived. I have tried in the preceding pages to show that all relevant considerations lead irresistibly towards it.”
Recon_136.txt.content,“The achievement of this ideal would however be a colossal task. Thousands perhaps hundreds of thousands of voluntary workers would be needed over a number of years to accomplish it.”
Recon_137.txt.content,“The governments should lend their full support but it is necessary to remember that the main burden of the task would have to be borne by voluntary political and social workers and institutions. The heart of the problem is to create the ‘spirit of community’ without which the whole body politic would be without life and soul. This is a task of moral regeneration to be brought about by example service sacrifice and love. Those who occupy high places in society in politics business the professions bear the heavy responsibility of leading the people by personal example.”
Recon_138.txt.content,“The task also is one of social engineering needing the help of the state of scientists expert educationists businessmen experimenters of men and women of young and old. It is a task of dedication of creation of self-discovery. It is a task that defines India’s destiny. It spells a challenge to India’s sons and daughters. Will they accept the challenge?”
